<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;58.8400000;59.5300000;58.8400000;59.3500000;4520410
040123;000000;59.4800000;59.4800000;59.0900000;59.2800000;2064870
050123;000000;59.3000000;59.3400000;58.5800000;58.8900000;3960790
060123;000000;58.8000000;58.9900000;58.7200000;58.8300000;1763580
090123;000000;59.0600000;59.2500000;58.7500000;59.1600000;5874630
100123;000000;59.2600000;59.8300000;58.8700000;59.8100000;7748120
110123;000000;59.9000000;60.8000000;59.8500000;60.7500000;12268520
120123;000000;60.8100000;60.8600000;59.8700000;60.1000000;8466840
130123;000000;60.0400000;60.4100000;59.7700000;60.0900000;7015890
160123;000000;60.2000000;62.6000000;60.0000000;62.5200000;29500590
170123;000000;63.1100000;63.6800000;61.6000000;61.7900000;36983110
180123;000000;61.9100000;62.7000000;61.1000000;61.6800000;16021520
190123;000000;61.5800000;61.6200000;59.8000000;60.3000000;28360270
200123;000000;60.4100000;60.6200000;59.9000000;60.1600000;10507070
230123;000000;60.4600000;61.8800000;60.0900000;61.5400000;17776670
240123;000000;61.7500000;61.8500000;60.5600000;60.7000000;15283040
250123;000000;60.6800000;60.9300000;60.1100000;60.8700000;7445660
260123;000000;60.9200000;61.0900000;60.2200000;60.4400000;7849420
270123;000000;60.5200000;61.1100000;60.1800000;60.7800000;7777940
300123;000000;61.2000000;61.6900000;60.9100000;61.5500000;10356570
310123;000000;61.6000000;62.4800000;61.5600000;62.0000000;13164160
010223;000000;62.1100000;62.4000000;61.2400000;61.7300000;12426930
020223;000000;61.9000000;61.9400000;61.1600000;61.6200000;8552610
030223;000000;61.5400000;61.9900000;60.8500000;61.7200000;8857650
060223;000000;61.9700000;62.8800000;61.7300000;62.5500000;15156150
070223;000000;62.5500000;63.4100000;61.9000000;62.3400000;12565330
080223;000000;62.4200000;62.8000000;61.3000000;61.9900000;11367910
090223;000000;62.0600000;62.0700000;61.5300000;61.7800000;6498850
100223;000000;61.6700000;62.0600000;61.5300000;61.8200000;4208650
130223;000000;61.8300000;62.1900000;61.6100000;61.7300000;4870440
140223;000000;61.7000000;61.7900000;59.2500000;60.3900000;14530810
150223;000000;60.1900000;60.1900000;58.1200000;58.8800000;14852710
160223;000000;59.0700000;59.5900000;58.5300000;58.9400000;8136950
170223;000000;58.7300000;59.4900000;58.7000000;59.3900000;5737240
200223;000000;59.6600000;59.8800000;58.2500000;59.0500000;18626620
210223;000000;58.9000000;60.3000000;58.8100000;59.8800000;12575550
220223;000000;59.9000000;60.1500000;59.4500000;59.9500000;4387810
240223;000000;60.1500000;60.8000000;58.6100000;59.3900000;24603560
270223;000000;59.1000000;60.3000000;59.0100000;60.2200000;7322610
280223;000000;60.3900000;60.6500000;60.1300000;60.5200000;7248770
010323;000000;60.6800000;61.5300000;60.4000000;61.3500000;10258940
020323;000000;61.3400000;61.7700000;59.9600000;60.4500000;10978790
030323;000000;60.8400000;62.3000000;60.8000000;62.1800000;29141280
060323;000000;62.2900000;62.8200000;61.7200000;61.8800000;11826810
070323;000000;61.7200000;61.9900000;61.3000000;61.6000000;7083040
090323;000000;61.7000000;62.3500000;61.4300000;61.5000000;5223930
100323;000000;61.3500000;61.7400000;61.0000000;61.5500000;4380350
130323;000000;61.6300000;62.1800000;60.6000000;61.0500000;8858320
140323;000000;61.0500000;61.6600000;60.7500000;61.3500000;5446390
150323;000000;61.4700000;61.7000000;60.3100000;60.6900000;8936650
160323;000000;60.6700000;60.9600000;59.8800000;60.4000000;8082600
170323;000000;60.4000000;60.9500000;60.3000000;60.8000000;10876150
200323;000000;60.9200000;63.2300000;60.8500000;63.1200000;23947630
210323;000000;63.3900000;65.8000000;62.8500000;64.2400000;46934500
220323;000000;64.2500000;64.9000000;63.5900000;63.7900000;13555130
230323;000000;63.9000000;64.1000000;63.0700000;63.7900000;11794730
240323;000000;63.7900000;63.9200000;63.2100000;63.5400000;6413660
270323;000000;63.7300000;65.6000000;63.7100000;65.4400000;20158890
280323;000000;65.6600000;65.9000000;64.1000000;64.8700000;12103620
290323;000000;64.9900000;65.1100000;64.2100000;64.5600000;8010150
300323;000000;64.3700000;67.2000000;64.2000000;66.5100000;28776410
310323;000000;66.5500000;66.9000000;64.7000000;65.9900000;21822670
030423;000000;66.9100000;67.3700000;66.1800000;66.7800000;17026640
040423;000000;67.0000000;67.1500000;65.6100000;66.2600000;17398060
050423;000000;66.2200000;67.0500000;65.2500000;66.5500000;11956930
060423;000000;66.7000000;67.7800000;65.8100000;65.9900000;22949300
070423;000000;66.1100000;66.8400000;66.0200000;66.6400000;12617860
100423;000000;66.8500000;67.9500000;66.7700000;67.7900000;16815570
