<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;163.0200000;164.3600000;162.3300000;163.5200000;6366490
040123;000000;163.4600000;163.4600000;162.0600000;162.5100000;6656380
050123;000000;162.5100000;162.8500000;160.7100000;161.2000000;7599140
060123;000000;161.2000000;162.5900000;161.1000000;162.1000000;5240800
090123;000000;162.9800000;163.4900000;161.8800000;162.7100000;9706960
100123;000000;162.7200000;162.9800000;161.4400000;162.1000000;7342060
110123;000000;162.0900000;167.1900000;161.7000000;165.8300000;25239300
120123;000000;165.7100000;165.7900000;163.7500000;164.1700000;11337740
130123;000000;164.3000000;165.7300000;163.5000000;164.5600000;12244240
160123;000000;165.1000000;166.8000000;164.9000000;165.8000000;14664800
170123;000000;165.8200000;165.9200000;162.0000000;162.3300000;18054520
180123;000000;162.5300000;163.9600000;160.8100000;162.1800000;14445400
190123;000000;161.9800000;162.4900000;160.0100000;160.5300000;15603390
200123;000000;160.6000000;161.4500000;158.5500000;158.8500000;16500690
230123;000000;158.9000000;160.4900000;158.2000000;160.0600000;15042680
240123;000000;160.2200000;160.8300000;157.4400000;157.8800000;16613760
250123;000000;157.9000000;159.1300000;156.7100000;158.9900000;15559500
260123;000000;159.1400000;159.4300000;157.1300000;157.5800000;12370220
270123;000000;157.5900000;159.3300000;156.9100000;159.0800000;12287180
300123;000000;159.0900000;159.6700000;157.7000000;158.4100000;10696630
310123;000000;158.4100000;160.0000000;158.0000000;158.1000000;15118140
010223;000000;158.3400000;158.6600000;157.5400000;158.1200000;14197160
020223;000000;158.3500000;158.5900000;157.3100000;158.1000000;11959060
030223;000000;158.0500000;163.9600000;156.7600000;160.8700000;69499700
060223;000000;160.7000000;161.7600000;158.9100000;160.1400000;28018270
070223;000000;160.4700000;161.3500000;159.5100000;159.8700000;13928790
080223;000000;160.0700000;160.4200000;157.8200000;158.1800000;16663910
090223;000000;158.5000000;160.4400000;157.6000000;159.1900000;27640740
