<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;15348.0000000;15550.0000000;15318.0000000;15520.0000000;44386
040123;000000;15550.0000000;15682.0000000;15510.0000000;15574.0000000;40632
050123;000000;15588.0000000;15590.0000000;15324.0000000;15340.0000000;39281
060123;000000;15340.0000000;15490.0000000;15250.0000000;15438.0000000;36004
090123;000000;15436.0000000;15558.0000000;15288.0000000;15370.0000000;55259
100123;000000;15348.0000000;15348.0000000;15202.0000000;15324.0000000;34715
110123;000000;15334.0000000;15478.0000000;15320.0000000;15410.0000000;40532
120123;000000;15398.0000000;15588.0000000;15274.0000000;15440.0000000;63509
130123;000000;15424.0000000;15440.0000000;15280.0000000;15334.0000000;57314
160123;000000;15368.0000000;15570.0000000;15340.0000000;15488.0000000;72176
170123;000000;15494.0000000;15640.0000000;15250.0000000;15294.0000000;88511
180123;000000;15292.0000000;15398.0000000;15170.0000000;15316.0000000;65253
190123;000000;15312.0000000;15350.0000000;15102.0000000;15200.0000000;47871
200123;000000;15212.0000000;15244.0000000;15016.0000000;15154.0000000;48579
230123;000000;14692.0000000;14996.0000000;14580.0000000;14980.0000000;137679
240123;000000;15002.0000000;15084.0000000;14724.0000000;14776.0000000;95418
250123;000000;14756.0000000;14954.0000000;14630.0000000;14882.0000000;84125
260123;000000;14910.0000000;14942.0000000;14692.0000000;14800.0000000;65400
270123;000000;14796.0000000;15088.0000000;14720.0000000;15032.0000000;93324
300123;000000;15050.0000000;15200.0000000;15044.0000000;15150.0000000;58280
310123;000000;15178.0000000;15310.0000000;15034.0000000;15144.0000000;64872
010223;000000;15148.0000000;15300.0000000;15080.0000000;15258.0000000;66419
020223;000000;15272.0000000;15386.0000000;15110.0000000;15164.0000000;57079
030223;000000;15144.0000000;15156.0000000;14920.0000000;14990.0000000;73345
060223;000000;15010.0000000;15018.0000000;14840.0000000;14942.0000000;102857
070223;000000;14950.0000000;15000.0000000;14802.0000000;14960.0000000;80348
080223;000000;14962.0000000;15138.0000000;14816.0000000;14852.0000000;90107
090223;000000;14878.0000000;14998.0000000;14814.0000000;14918.0000000;68471
100223;000000;14890.0000000;14938.0000000;14622.0000000;14840.0000000;130119
130223;000000;14832.0000000;14986.0000000;14794.0000000;14892.0000000;50779
140223;000000;14886.0000000;14952.0000000;14760.0000000;14760.0000000;51108
150223;000000;14754.0000000;14844.0000000;14402.0000000;14500.0000000;110515
