<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;2158.6400000;2174.2300000;2157.7600000;2172.6800000;12640876447
040123;000000;2171.8100000;2179.4900000;2162.1100000;2168.4200000;11500562158
050123;000000;2170.4000000;2171.9400000;2154.1800000;2156.6700000;9781371925
060123;000000;2157.4000000;2160.0600000;2153.3900000;2156.3900000;7616667461
090123;000000;2164.1900000;2169.6900000;2162.0400000;2163.5000000;18125048871
100123;000000;2162.7000000;2162.7000000;2145.1500000;2159.5100000;14588944992
110123;000000;2156.2800000;2190.3100000;2153.6000000;2186.9800000;35205621665
120123;000000;2193.4500000;2194.6800000;2177.4900000;2185.9300000;21372233542
130123;000000;2188.8600000;2204.1600000;2179.8200000;2199.9400000;27660718394
160123;000000;2205.6200000;2224.9000000;2205.0800000;2224.9000000;27270613062
170123;000000;2225.7700000;2226.2000000;2196.8400000;2196.8400000;31354389814
180123;000000;2188.9000000;2206.5900000;2177.9100000;2196.2600000;24420019293
190123;000000;2189.0200000;2193.9300000;2162.1100000;2168.8300000;25563984230
200123;000000;2168.2600000;2173.6500000;2154.3700000;2166.6900000;18866262296
230123;000000;2169.1200000;2186.8500000;2165.0700000;2185.3100000;22995129325
240123;000000;2191.3300000;2199.2100000;2172.7500000;2172.7500000;29053729049
250123;000000;2168.6000000;2176.6000000;2160.8000000;2170.1500000;22549782342
260123;000000;2182.8400000;2183.7700000;2166.9200000;2166.9200000;22620385216
270123;000000;2174.4700000;2189.3500000;2167.3700000;2189.3500000;22260483671
300123;000000;2195.4200000;2204.4100000;2189.1500000;2204.4100000;25259843189
310123;000000;2203.6800000;2225.6000000;2202.7600000;2225.6000000;33398770466
010223;000000;2233.3900000;2247.1200000;2224.9900000;2230.1500000;39290970840
020223;000000;2243.5900000;2249.5400000;2228.6100000;2243.5400000;32764901716
030223;000000;2236.8300000;2253.6400000;2216.6900000;2248.3000000;43225323418
060223;000000;2245.7800000;2276.4800000;2243.8800000;2272.3700000;41933025299
070223;000000;2282.1400000;2290.4500000;2262.3900000;2267.6900000;40985218117
080223;000000;2274.2200000;2283.4600000;2244.7000000;2251.9700000;36307029789
090223;000000;2258.1700000;2269.9400000;2241.0200000;2262.4500000;36619920641
100223;000000;2252.7500000;2264.3700000;2249.8200000;2261.5800000;20643118622
130223;000000;2263.0000000;2271.0000000;2261.3700000;2264.2700000;18397719431
140223;000000;2254.7600000;2256.9300000;2225.9700000;2232.2300000;30963709302
150223;000000;2213.7500000;2213.7500000;2164.7000000;2166.4600000;42517043701
160223;000000;2170.6100000;2186.5900000;2150.2500000;2153.9600000;33125284717
170223;000000;2156.9000000;2180.9400000;2147.3600000;2168.8800000;23538402826
200223;000000;2169.2600000;2186.2100000;2140.7800000;2183.5700000;30030463353
210223;000000;2185.3200000;2227.6700000;2184.8400000;2212.4200000;49530303291
220223;000000;2215.4300000;2215.5300000;2194.9900000;2212.4000000;20578505250
240223;000000;2208.5600000;2223.1700000;2202.3000000;2208.0300000;18950674300
270223;000000;2193.9200000;2241.1000000;2189.1300000;2241.1000000;36590581710
280223;000000;2246.1600000;2258.6100000;2239.6500000;2253.1600000;36913760220
010323;000000;2261.5700000;2287.3500000;2255.6300000;2279.6500000;39921732841
020323;000000;2284.3000000;2286.2000000;2235.5300000;2254.3000000;50638414113
030323;000000;2250.7100000;2273.4600000;2249.8100000;2272.2000000;26674798417
060323;000000;2286.0400000;2297.8600000;2283.4000000;2294.1200000;33447350732
070323;000000;2293.8200000;2298.8700000;2281.5200000;2295.6000000;24547914157
090323;000000;2295.3100000;2302.0900000;2279.0100000;2290.1400000;28664603734
