<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;4082.0000000;4139.0000000;4075.5000000;4123.5000000;319378
040123;000000;4124.0000000;4165.5000000;4090.0000000;4116.0000000;404857
050123;000000;4121.0000000;4127.0000000;4081.5000000;4087.0000000;175380
060123;000000;4088.0000000;4118.0000000;4085.0000000;4089.0000000;239592
090123;000000;4105.0000000;4123.0000000;4093.0000000;4110.0000000;355072
100123;000000;4100.0000000;4104.0000000;4063.5000000;4079.0000000;286426
110123;000000;4079.5000000;4099.0000000;4065.5000000;4090.5000000;263948
120123;000000;4091.0000000;4094.0000000;4071.0000000;4078.5000000;173973
130123;000000;4079.0000000;4090.0000000;4068.0000000;4074.0000000;222545
160123;000000;4078.5000000;4096.5000000;4045.0000000;4052.0000000;462722
170123;000000;4054.0000000;4060.5000000;4015.0000000;4025.0000000;326109
180123;000000;4038.0000000;4049.0000000;4012.0000000;4021.0000000;269871
190123;000000;4019.5000000;4020.0000000;3974.0000000;3981.0000000;413926
200123;000000;3983.5000000;3995.0000000;3925.0000000;3944.0000000;382012
230123;000000;3950.0000000;3979.5000000;3944.5000000;3972.5000000;339589
240123;000000;3986.0000000;3990.0000000;3930.5000000;3942.5000000;295072
250123;000000;3945.5000000;3960.0000000;3900.5000000;3923.5000000;541599
260123;000000;3924.0000000;3935.0000000;3901.5000000;3911.0000000;325699
270123;000000;3911.0000000;3920.0000000;3892.5000000;3917.0000000;473069
300123;000000;3929.0000000;3954.0000000;3917.0000000;3947.5000000;319695
310123;000000;3947.5000000;3972.5000000;3925.5000000;3955.0000000;377214
010223;000000;3959.5000000;3989.0000000;3935.0000000;3955.5000000;354282
020223;000000;3955.5000000;3960.0000000;3900.5000000;3918.5000000;567575
030223;000000;3917.5000000;3920.0000000;3880.0000000;3907.5000000;550188
060223;000000;3910.0000000;3946.5000000;3902.0000000;3941.0000000;411987
070223;000000;3951.0000000;3977.0000000;3931.0000000;3968.0000000;388976
080223;000000;3978.0000000;3998.5000000;3903.0000000;3930.5000000;532879
090223;000000;3949.0000000;3960.0000000;3907.5000000;3914.0000000;294748
100223;000000;3915.0000000;3969.5000000;3903.5000000;3921.5000000;314135
130223;000000;3940.0000000;3948.0000000;3911.0000000;3928.5000000;280972
140223;000000;3930.0000000;3937.0000000;3905.0000000;3914.5000000;287305
150223;000000;3903.0000000;3906.0000000;3800.0000000;3829.0000000;699575
160223;000000;3840.0000000;3873.5000000;3811.5000000;3830.0000000;340246
170223;000000;3829.0000000;3860.0000000;3802.5000000;3840.0000000;249831
200223;000000;3846.0000000;3927.5000000;3804.0000000;3905.0000000;450825
210223;000000;3912.0000000;3950.0000000;3901.5000000;3914.5000000;373178
220223;000000;3915.5000000;3925.0000000;3873.0000000;3909.5000000;195478
240223;000000;3916.0000000;3925.0000000;3880.0000000;3901.0000000;123577
270223;000000;3884.5000000;3920.0000000;3881.5000000;3903.0000000;316428
280223;000000;3905.5000000;4021.0000000;3903.0000000;3990.0000000;1173447
010323;000000;4012.0000000;4060.0000000;3978.0000000;4056.0000000;826499
020323;000000;4056.5000000;4078.0000000;3966.0000000;4004.0000000;1011664
030323;000000;4003.0000000;4048.0000000;4001.5000000;4030.5000000;466591
060323;000000;4048.0000000;4129.0000000;4045.5000000;4111.5000000;764914
070323;000000;4115.5000000;4138.0000000;4090.0000000;4125.0000000;445473
090323;000000;4124.5000000;4136.0000000;4099.0000000;4105.0000000;368232
100323;000000;4088.0000000;4111.0000000;4035.0000000;4085.0000000;409316
130323;000000;4092.5000000;4120.0000000;4039.0000000;4066.0000000;457920
140323;000000;4059.5000000;4095.0000000;4044.0000000;4063.0000000;362937
150323;000000;4077.0000000;4079.0000000;4009.0000000;4022.0000000;539062
160323;000000;4013.0000000;4092.0000000;4011.0000000;4084.0000000;627095
170323;000000;4094.5000000;4140.0000000;4073.0000000;4111.5000000;921050
200323;000000;4126.0000000;4247.5000000;4090.5000000;4228.5000000;960037
210323;000000;4230.5000000;4287.5000000;4167.5000000;4216.5000000;885563
220323;000000;4215.0000000;4254.0000000;4184.0000000;4192.5000000;419319
230323;000000;4198.0000000;4215.0000000;4159.0000000;4177.5000000;373050
240323;000000;4179.0000000;4221.0000000;4158.0000000;4206.5000000;242163
270323;000000;4230.0000000;4343.5000000;4217.0000000;4322.0000000;586095
280323;000000;4332.0000000;4350.5000000;4271.0000000;4320.0000000;490009
290323;000000;4325.0000000;4360.0000000;4294.0000000;4342.0000000;421081
300323;000000;4349.5000000;4388.5000000;4320.0000000;4382.5000000;440052
310323;000000;4380.0000000;4389.0000000;4280.5000000;4352.5000000;674414
030423;000000;4491.0000000;4508.5000000;4422.0000000;4473.5000000;1115827
040423;000000;4490.0000000;4575.5000000;4476.5000000;4510.5000000;916823
050423;000000;4506.0000000;4545.0000000;4460.0000000;4540.0000000;557591
060423;000000;4543.0000000;4623.5000000;4475.5000000;4585.0000000;936992
070423;000000;4610.5000000;4638.5000000;4520.0000000;4637.0000000;640089
100423;000000;4636.0000000;4661.0000000;4620.0000000;4650.5000000;601426
110423;000000;4651.0000000;4689.0000000;4575.0000000;4620.0000000;897988
120423;000000;4666.5000000;4728.5000000;4630.0000000;4670.0000000;934788
130423;000000;4686.0000000;4686.0000000;4590.0000000;4612.5000000;902928
140423;000000;4612.5000000;4629.0000000;4553.5000000;4618.0000000;955355
170423;000000;4660.0000000;4670.0000000;4629.5000000;4640.0000000;661039
180423;000000;4649.0000000;4658.0000000;4583.5000000;4599.5000000;885244
190423;000000;4600.0000000;4609.5000000;4528.0000000;4539.5000000;1232304
200423;000000;4540.0000000;4794.5000000;4462.0000000;4746.0000000;3660077
210423;000000;4759.5000000;4776.5000000;4711.0000000;4729.5000000;852949
240423;000000;4728.0000000;4750.0000000;4692.5000000;4710.5000000;529665
250423;000000;4713.0000000;4720.0000000;4678.0000000;4689.0000000;391428
260423;000000;4695.0000000;4706.0000000;4627.5000000;4659.0000000;646371
270423;000000;4661.0000000;4710.5000000;4655.0000000;4700.0000000;510329
280423;000000;4708.5000000;4710.0000000;4641.5000000;4674.5000000;540156
