<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;95.4000000;96.1500000;94.9000000;95.5500000;1334570
040123;000000;95.5000000;95.9600000;95.0000000;95.8000000;1140130
050123;000000;95.9600000;96.1800000;95.0000000;95.7900000;1172680
060123;000000;95.8900000;96.4000000;95.0200000;95.1900000;2606200
090123;000000;95.1900000;95.7900000;95.0000000;95.5300000;1955830
100123;000000;95.4400000;95.5600000;94.4000000;94.9200000;2505850
110123;000000;95.0700000;98.8000000;94.8100000;98.5900000;6222880
120123;000000;98.5900000;99.6500000;97.5500000;98.2500000;3853190
130123;000000;98.5000000;99.4100000;97.7200000;98.9800000;2353240
160123;000000;99.3300000;105.3200000;99.0200000;105.0600000;11274910
170123;000000;105.6100000;105.6100000;102.2200000;102.7800000;8549530
180123;000000;102.4600000;103.8700000;102.0600000;103.1500000;4315120
190123;000000;102.8300000;103.2400000;99.6400000;100.2500000;5169900
200123;000000;100.2200000;101.2000000;99.4200000;101.1900000;3973400
230123;000000;101.3500000;102.2800000;100.5200000;101.7000000;3859570
240123;000000;101.9100000;104.4000000;101.5600000;102.5000000;5354760
250123;000000;102.2400000;103.0600000;101.7300000;102.5500000;2203730
260123;000000;102.9500000;104.2000000;102.6500000;103.9200000;2142430
270123;000000;104.0000000;104.0000000;103.0200000;103.7400000;1942270
300123;000000;103.7600000;104.7100000;103.1000000;104.1800000;2063170
310123;000000;104.2500000;108.4000000;104.2400000;107.3500000;7657660
010223;000000;107.7600000;108.7600000;106.0500000;107.6600000;4858430
020223;000000;107.9300000;109.1100000;107.2300000;107.9700000;4010390
030223;000000;107.9000000;108.4800000;106.3100000;107.6300000;3845810
060223;000000;107.1800000;109.9800000;107.0200000;109.7700000;3592860
070223;000000;109.8000000;110.4900000;108.6000000;109.1000000;3047300
080223;000000;109.1000000;109.8400000;107.7800000;108.3900000;3059500
090223;000000;108.5500000;108.7600000;106.8000000;108.1000000;2869070
100223;000000;107.4000000;108.2400000;107.2200000;108.2000000;1494030
130223;000000;107.9100000;108.8600000;107.4000000;108.4900000;1373130
140223;000000;108.4500000;108.6800000;106.3500000;106.7300000;3222970
150223;000000;106.3700000;106.4900000;101.5700000;102.8800000;5741220
160223;000000;103.1900000;105.3600000;102.8400000;104.2200000;3181110
170223;000000;103.7600000;107.2000000;103.0000000;107.1200000;5862750
200223;000000;106.7800000;107.8000000;104.5200000;106.6000000;4907380
210223;000000;106.9500000;110.5400000;106.9400000;109.2700000;7028470
220223;000000;109.1900000;109.2400000;107.6600000;108.6000000;2705680
240223;000000;108.4000000;110.8800000;108.2600000;110.4900000;3702810
270223;000000;109.8500000;116.0000000;109.5100000;115.4100000;12804230
280223;000000;115.4900000;116.3400000;114.3000000;115.3300000;7357050
010323;000000;115.5000000;117.5000000;115.4700000;117.1000000;7512240
020323;000000;117.0600000;117.9600000;114.8200000;115.4800000;11355860
030323;000000;115.6000000;117.9900000;115.6000000;117.9500000;4783800
060323;000000;118.9900000;123.9900000;118.5800000;123.8700000;16911330
070323;000000;124.0000000;124.9200000;122.4100000;123.2300000;10743080
090323;000000;123.2500000;124.6200000;121.7000000;123.2400000;8173990
100323;000000;123.2700000;123.8900000;116.2600000;117.0000000;43629140
130323;000000;117.0000000;117.3900000;112.3500000;113.9000000;32378870
140323;000000;113.8000000;114.7000000;112.5400000;113.7600000;10817160
150323;000000;114.0100000;114.2100000;111.0100000;111.3800000;11084830
160323;000000;111.4000000;112.1100000;109.3400000;111.7100000;13867670
170323;000000;112.7100000;113.8900000;112.0100000;112.8900000;14711500
200323;000000;113.0000000;114.1500000;111.7900000;113.8800000;10040710
210323;000000;114.0500000;114.4500000;112.2200000;112.7200000;6356250
220323;000000;112.3500000;113.6300000;112.2100000;113.0400000;2844480
230323;000000;113.0000000;113.4000000;112.2100000;112.2600000;3616830
240323;000000;112.4600000;113.4000000;112.1000000;112.6800000;4916990
270323;000000;113.0200000;113.2200000;112.4200000;112.8900000;5176110
280323;000000;113.1100000;113.1600000;112.0200000;112.4700000;3194210
290323;000000;112.5500000;112.8000000;111.8000000;112.5000000;4592310
300323;000000;112.6000000;112.6300000;112.1100000;112.4100000;3322960
310323;000000;112.4500000;113.4500000;111.2300000;112.5500000;8530180
030423;000000;112.8600000;114.3200000;112.1000000;113.8600000;6461120
040423;000000;114.2000000;114.9500000;112.5000000;112.7700000;7939540
050423;000000;112.6700000;113.0400000;111.5100000;112.5800000;4140160
060423;000000;112.7000000;112.9800000;111.8100000;112.0700000;4051080
070423;000000;111.9600000;112.9200000;111.1700000;112.2700000;4842390
100423;000000;112.4900000;112.5000000;111.8100000;112.1400000;5012370
110423;000000;112.2800000;112.3400000;111.0200000;111.1100000;7447310
120423;000000;111.2800000;111.5000000;110.2000000;110.8000000;4710450
130423;000000;110.8500000;110.9000000;110.0500000;110.6500000;3395800
140423;000000;110.6500000;112.0000000;110.3600000;111.8100000;4139230
170423;000000;112.0900000;112.9400000;111.8100000;112.0400000;3986050
180423;000000;112.0600000;112.9900000;111.3100000;112.1700000;5487330
190423;000000;112.1700000;112.2000000;110.2000000;110.9000000;5242990
200423;000000;110.9900000;112.6800000;109.8100000;110.8600000;7978180
210423;000000;111.0900000;111.3600000;110.5600000;110.9700000;2663490
240423;000000;111.0900000;111.8000000;110.7400000;110.8100000;3675780
