<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;367.9500000;372.7500000;366.2000000;368.0500000;2635083
040123;000000;366.8000000;367.6000000;363.2500000;365.8000000;1789053
050123;000000;366.9000000;369.0000000;365.8000000;367.5000000;1321431
060123;000000;367.8000000;368.5000000;366.7500000;367.3000000;937068
090123;000000;368.2000000;369.7000000;366.0500000;367.9500000;4329092
100123;000000;367.5000000;368.0000000;362.2000000;366.7500000;5570861
110123;000000;347.7000000;350.5000000;345.0000000;347.3500000;8044367
120123;000000;347.2000000;347.8000000;345.6000000;346.8500000;1526709
130123;000000;345.9500000;347.0000000;345.3500000;346.0500000;1402647
160123;000000;346.4500000;347.6000000;345.0500000;345.8000000;1708966
170123;000000;345.8000000;345.9000000;340.3000000;341.3500000;2007008
180123;000000;340.3500000;345.9000000;340.1500000;344.1500000;2037299
190123;000000;343.3500000;343.8500000;339.0000000;339.8000000;1690616
200123;000000;339.9000000;340.4500000;334.5000000;336.5500000;2284023
230123;000000;338.4500000;340.2500000;336.2000000;340.0500000;1145184
240123;000000;340.9000000;343.0000000;335.8000000;336.7500000;1841876
250123;000000;336.5500000;338.8000000;335.4000000;338.2000000;1287985
260123;000000;338.4000000;339.2000000;334.1000000;335.0000000;2092559
270123;000000;335.0000000;337.8000000;333.4000000;336.9500000;1448818
300123;000000;337.1000000;338.7000000;335.5000000;337.6500000;1338101
310123;000000;337.1000000;340.9000000;337.1000000;340.7500000;2098303
010223;000000;340.9500000;344.4000000;340.9000000;343.0000000;2819914
020223;000000;344.0000000;344.9500000;341.4500000;342.1000000;1673667
030223;000000;341.9500000;343.7500000;339.0000000;341.8500000;1672596
060223;000000;341.4500000;347.9500000;341.1000000;347.1000000;2995646
070223;000000;348.0000000;358.1500000;346.7500000;355.2500000;5376588
080223;000000;355.7500000;359.3500000;348.0500000;349.8500000;4770176
090223;000000;359.2500000;359.3000000;347.0500000;350.2000000;2588044
100223;000000;349.1000000;351.8000000;347.3000000;351.0000000;1610662
130223;000000;350.2500000;355.0000000;349.2000000;349.4000000;1646336
140223;000000;349.8000000;350.4000000;343.5000000;344.2000000;3186088
150223;000000;343.4500000;346.0000000;334.4000000;339.6000000;3431162
160223;000000;341.2500000;344.9500000;340.5500000;342.5500000;1701978
170223;000000;341.6500000;346.8000000;339.4000000;345.1000000;1785199
200223;000000;345.1000000;348.4500000;339.0000000;347.1000000;2425494
210223;000000;347.0000000;354.6000000;347.0000000;352.6500000;3527598
220223;000000;352.7000000;354.6500000;349.4000000;353.7500000;1608221
240223;000000;354.1000000;355.6500000;350.1500000;352.4500000;1163806
270223;000000;350.7500000;359.0000000;350.3500000;357.7500000;2345050
280223;000000;357.7500000;361.3500000;356.3500000;358.4000000;2607421
010323;000000;359.1500000;364.4500000;358.6000000;361.4000000;2677111
020323;000000;361.5500000;361.9000000;354.1500000;355.0500000;3621043
030323;000000;354.2000000;359.6000000;354.2000000;358.8000000;1633385
060323;000000;361.8000000;365.9500000;359.8000000;365.3500000;2468996
070323;000000;365.4000000;366.0000000;362.7500000;364.3000000;2050678
090323;000000;364.9500000;366.4500000;362.6500000;364.0000000;1634522
100323;000000;363.0000000;366.5500000;359.5500000;365.9000000;2267757
130323;000000;366.2500000;368.2500000;360.0500000;363.5000000;3128959
140323;000000;362.4000000;371.0000000;362.0000000;364.5500000;2797705
150323;000000;364.8500000;367.9000000;355.5000000;357.9500000;3624140
160323;000000;357.4000000;359.5000000;353.2000000;359.2000000;2199481
170323;000000;360.3000000;366.0000000;357.2500000;365.2000000;4449517
200323;000000;366.3000000;380.0000000;364.6500000;377.4000000;6743530
210323;000000;379.4500000;384.7000000;367.6500000;371.8000000;6548585
220323;000000;371.6500000;379.7000000;368.2500000;375.5000000;3341038
230323;000000;375.7500000;378.0500000;371.8000000;374.4500000;1740017
240323;000000;375.1500000;378.0000000;373.4000000;377.2500000;1229053
270323;000000;378.6000000;384.9500000;377.6500000;383.2500000;2926400
280323;000000;384.1500000;384.5500000;377.6500000;381.5000000;2267865
290323;000000;382.6000000;386.6500000;378.1500000;385.4500000;3172485
300323;000000;385.6000000;387.8500000;383.0000000;386.1500000;1695216
310323;000000;386.5000000;386.9000000;376.1000000;380.9000000;3095377
030423;000000;393.8000000;396.0000000;388.1000000;390.9000000;6287163
040423;000000;391.7500000;394.1000000;387.2500000;390.0000000;3240344
050423;000000;390.3000000;391.9500000;382.1500000;389.7000000;2649736
060423;000000;390.0500000;393.4000000;388.6000000;389.8000000;2656065
070423;000000;390.7500000;392.2000000;386.6500000;391.7000000;1793265
100423;000000;391.9000000;395.4500000;391.2000000;393.5000000;2506465
110423;000000;394.6500000;397.4500000;385.1000000;388.3500000;3439379
120423;000000;388.6500000;391.9000000;388.1000000;390.9000000;1481347
130423;000000;391.6500000;391.8000000;387.3000000;390.1000000;1102799
140423;000000;390.0000000;394.0000000;385.2500000;392.4000000;2198781
170423;000000;394.0000000;395.9500000;392.6000000;395.8500000;2063995
180423;000000;396.0000000;398.8500000;393.8500000;397.0000000;2295714
190423;000000;397.3000000;402.9500000;394.9000000;396.1000000;4245021
200423;000000;395.7500000;399.0000000;390.0500000;396.5000000;3420740
210423;000000;397.7500000;401.0000000;394.5500000;398.7500000;1853982
240423;000000;398.3500000;400.9500000;396.8000000;400.4000000;1468056
250423;000000;399.8000000;400.7500000;395.0000000;396.4500000;1324609
260423;000000;396.3000000;399.5000000;395.4500000;395.7500000;1228446
270423;000000;396.0500000;398.6000000;394.3500000;398.2500000;1296634
