<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;141.3900000;143.1100000;141.0100000;141.4300000;2012480
040123;000000;141.3600000;142.0700000;140.6300000;140.9800000;1517950
050123;000000;141.0100000;141.1800000;140.2000000;140.5800000;1293670
060123;000000;140.4600000;140.7200000;139.8000000;140.1200000;1131360
090123;000000;140.5800000;142.4100000;140.5000000;141.9900000;3053400
100123;000000;141.9900000;141.9900000;140.6200000;141.9500000;1887830
110123;000000;141.9900000;148.9900000;141.9300000;148.7200000;8127730
120123;000000;149.1700000;149.3100000;147.1400000;148.3600000;4909530
130123;000000;148.5100000;151.6000000;147.3900000;150.8900000;5717070
160123;000000;151.6100000;153.2900000;151.3600000;152.7500000;4947150
170123;000000;152.8900000;153.1500000;148.5600000;149.6100000;7695780
180123;000000;150.0300000;152.1800000;148.7200000;151.0900000;4105190
190123;000000;151.0300000;151.5000000;148.5000000;148.9400000;4013100
200123;000000;149.3100000;150.0000000;148.3000000;150.0000000;3492580
230123;000000;150.6500000;152.0000000;149.6400000;151.3200000;4146710
240123;000000;151.4000000;152.5000000;150.0600000;150.2400000;4304480
250123;000000;149.9700000;151.0000000;149.6800000;150.4600000;2840010
260123;000000;151.0000000;151.1000000;149.9100000;150.2300000;2357860
270123;000000;150.2300000;151.0000000;150.0000000;150.5500000;1831100
300123;000000;150.6000000;151.3400000;150.1400000;150.7900000;2058900
310123;000000;150.7900000;155.5000000;150.7700000;155.4700000;5654450
010223;000000;155.5800000;157.0000000;154.4900000;156.5200000;6424170
020223;000000;155.5300000;158.7200000;155.5000000;158.0700000;5166870
030223;000000;158.0400000;161.2800000;157.0000000;160.4400000;8256450
060223;000000;161.1500000;165.9500000;160.6200000;165.8700000;8142640
070223;000000;166.0000000;169.5000000;161.0200000;164.1500000;10938840
080223;000000;164.3100000;165.0700000;161.2400000;163.0400000;5063920
090223;000000;163.0900000;165.6300000;160.8000000;164.3800000;7267460
100223;000000;164.1800000;164.9500000;163.5000000;164.3300000;3077820
130223;000000;164.1800000;165.3000000;163.3200000;163.4600000;2784730
140223;000000;163.4700000;163.4700000;160.2100000;160.8600000;4435250
150223;000000;160.0100000;160.0100000;151.7400000;155.4000000;10559360
160223;000000;156.2000000;158.4600000;155.2900000;157.2500000;5272380
170223;000000;156.7400000;158.8000000;155.0000000;157.9700000;4634470
200223;000000;157.8300000;158.7300000;155.0800000;157.7100000;4985310
210223;000000;157.9800000;164.0000000;157.7700000;162.4400000;10435920
220223;000000;162.6300000;162.8000000;160.6100000;161.7500000;3176590
240223;000000;161.2600000;163.6900000;161.2600000;163.0600000;2544740
270223;000000;162.4500000;167.7300000;161.7500000;167.6700000;5981610
280223;000000;168.0200000;169.3500000;166.6900000;167.7300000;5668490
010323;000000;168.2200000;169.2000000;167.7100000;168.9900000;3363970
020323;000000;168.6300000;168.7600000;163.5000000;165.9100000;7558890
030323;000000;165.9900000;168.7100000;165.9300000;168.7100000;3360040
060323;000000;169.4000000;171.1200000;169.4000000;170.3900000;4115760
070323;000000;170.7100000;172.7400000;169.7300000;172.5000000;3871940
090323;000000;173.5900000;173.7400000;171.0000000;171.4700000;5971490
100323;000000;170.7900000;172.2200000;169.3700000;171.9000000;3940380
130323;000000;171.9200000;172.7000000;168.0800000;170.2700000;5383810
140323;000000;169.7000000;174.7500000;169.4300000;174.0100000;5462360
150323;000000;174.2700000;175.3700000;172.0000000;173.0400000;4290130
160323;000000;173.0000000;174.0200000;171.3500000;174.0000000;3825030
170323;000000;180.0300000;193.6400000;177.0000000;193.2000000;37128100
200323;000000;196.0200000;205.0000000;195.7100000;203.8500000;19120230
210323;000000;204.0300000;208.1300000;201.3000000;203.4000000;12549400
220323;000000;203.6100000;204.4300000;201.8000000;203.2300000;5703790
230323;000000;203.3100000;204.1100000;202.6200000;203.1300000;2376810
240323;000000;203.5000000;203.8700000;202.4000000;203.6800000;2213570
270323;000000;203.8700000;213.4900000;203.8700000;211.9400000;9617880
280323;000000;212.4800000;215.4000000;210.4000000;213.9000000;8180780
290323;000000;214.5200000;218.8800000;213.5000000;217.6700000;10094910
300323;000000;217.3500000;218.0000000;216.3500000;216.8000000;4161010
310323;000000;216.9900000;217.2500000;211.1100000;215.8400000;8604880
030423;000000;216.5900000;217.7800000;214.0000000;215.0200000;5821040
040423;000000;215.0200000;216.3000000;213.5900000;214.3600000;4906000
050423;000000;214.3600000;216.0000000;212.2300000;215.6000000;4623400
060423;000000;215.7000000;216.8100000;214.0500000;214.2100000;4236570
070423;000000;214.2000000;216.2600000;213.6000000;215.9500000;2875270
100423;000000;216.9900000;221.1300000;216.2300000;221.1300000;7995760
110423;000000;221.2800000;221.9500000;217.1100000;218.3600000;7914350
120423;000000;218.3600000;219.3200000;216.5100000;218.9500000;5327230
130423;000000;219.4400000;220.4000000;218.0000000;219.3800000;2667450
140423;000000;219.3900000;221.9800000;218.1400000;221.4000000;4498750
170423;000000;222.7500000;228.0000000;222.5000000;227.8200000;6202900
180423;000000;228.3300000;232.8600000;227.3300000;232.5100000;6966130
190423;000000;232.5000000;237.2700000;230.0800000;233.2900000;10895180
200423;000000;233.3300000;236.3700000;227.9000000;236.3500000;8560400
210423;000000;237.5000000;238.3500000;233.0000000;235.4700000;8821730
240423;000000;235.5000000;236.3300000;234.1800000;235.2800000;2809600
250423;000000;235.4300000;235.9700000;234.5000000;235.1300000;2443960
260423;000000;235.7800000;235.9500000;234.8500000;235.2200000;2157460
270423;000000;235.2000000;239.9100000;235.1000000;239.5100000;6362610
280423;000000;240.0000000;241.5600000;237.0300000;239.3900000;6086100
020523;000000;241.9000000;244.4600000;237.0100000;242.4600000;8169230
030523;000000;242.7200000;242.8700000;233.0000000;235.9000000;8609300
040523;000000;235.9000000;239.2300000;235.9000000;238.4500000;4231500
050523;000000;238.8300000;239.7000000;236.5200000;236.8000000;5248270
080523;000000;237.0200000;238.8900000;235.3600000;235.9700000;5897530
100523;000000;213.1200000;226.8600000;213.0800000;226.2100000;14184610
110523;000000;226.9700000;233.8400000;222.0100000;226.5500000;15664200
120523;000000;227.4800000;230.5000000;223.5400000;226.6800000;5841640
150523;000000;228.2000000;228.7000000;227.0000000;228.4500000;3603670
160523;000000;229.0000000;229.8800000;227.2700000;228.5200000;2392470
170523;000000;227.8000000;228.5200000;226.4000000;228.2900000;2425990
180523;000000;229.0400000;231.8100000;228.1000000;229.0400000;5003350
190523;000000;229.0600000;229.5300000;228.0000000;228.5600000;2639610
220523;000000;229.3000000;229.7200000;227.3600000;228.3200000;2016220
230523;000000;228.3200000;233.0700000;227.5100000;232.0400000;4864280
240523;000000;232.0400000;241.2900000;232.0400000;241.1000000;8012740
250523;000000;241.5300000;243.0000000;238.0800000;239.3600000;6548810
260523;000000;239.3400000;244.2600000;238.5100000;243.0000000;5508210
290523;000000;248.0000000;248.0100000;244.5000000;246.9100000;5603740
300523;000000;245.2000000;246.4400000;240.0100000;241.2600000;7763890
310523;000000;240.9600000;243.0000000;236.3700000;241.1300000;5800170
010623;000000;241.7200000;241.9800000;237.3700000;238.4700000;3439940
020623;000000;238.5700000;242.3300000;238.1000000;240.9500000;3924300
050623;000000;240.7000000;241.0000000;233.3700000;236.3700000;6181870
060623;000000;236.0200000;239.9000000;230.7000000;238.5800000;7175420
070623;000000;239.2000000;240.8000000;236.7000000;238.1800000;3761860
080623;000000;238.5000000;239.9000000;237.0000000;238.7600000;2197640
090623;000000;239.2100000;239.9400000;237.6800000;238.4900000;2100340
130623;000000;239.5200000;241.9000000;238.8000000;241.7700000;3274780
140623;000000;242.4400000;244.0000000;239.7000000;241.5600000;3903470
150623;000000;242.6000000;243.6000000;241.5800000;242.9000000;4448330
160623;000000;243.6800000;243.8800000;241.5700000;241.7900000;2328540
190623;000000;242.0000000;242.2900000;239.8000000;240.0200000;2913510
200623;000000;239.5500000;239.8500000;237.2000000;239.2400000;3366390
210623;000000;239.3500000;240.4800000;237.8500000;239.2200000;2447600
220623;000000;239.1000000;239.5000000;237.2000000;238.0100000;2021380
230623;000000;237.2500000;237.9200000;232.1300000;233.8100000;4967440
260623;000000;236.7000000;238.2300000;232.3400000;236.4900000;6466890
270623;000000;237.1200000;239.8500000;235.1500000;238.9500000;3223950
280623;000000;238.8100000;239.0400000;236.5500000;237.1200000;1656810
290623;000000;237.1800000;238.7700000;236.9000000;237.5100000;2176460
300623;000000;238.0100000;238.2800000;236.4100000;236.9600000;1793480
030723;000000;237.1000000;240.2600000;236.5100000;238.5000000;4132410
040723;000000;239.0300000;240.0000000;237.2700000;237.5200000;3069020
050723;000000;237.9000000;238.9500000;237.0000000;237.6400000;2014080
060723;000000;237.6400000;239.6200000;237.6200000;238.3700000;2649270
070723;000000;238.6800000;240.8600000;238.1100000;240.7000000;2148720
100723;000000;242.0000000;246.1000000;241.5100000;246.0000000;4572000
110723;000000;246.7400000;246.7400000;243.7300000;245.5000000;3890910
120723;000000;246.0000000;246.9000000;244.1000000;245.2900000;3311590
130723;000000;245.9900000;246.3200000;243.4000000;244.2200000;2528280
140723;000000;244.2200000;244.9500000;242.5500000;244.5000000;1849350
170723;000000;242.3000000;244.5800000;242.0000000;244.2500000;2616370
180723;000000;244.2500000;246.1200000;243.8000000;245.9900000;3633240
190723;000000;246.4000000;247.0000000;245.0000000;245.0000000;2839240
200723;000000;245.2200000;245.2500000;242.2500000;242.5400000;3299410
210723;000000;242.2400000;244.2900000;241.6400000;243.7100000;3016810
240723;000000;243.5000000;244.8100000;243.1000000;244.4900000;2338610
250723;000000;244.5500000;246.4000000;244.0800000;246.0100000;3334410
260723;000000;246.0500000;246.8000000;244.6100000;245.8500000;2446110
270723;000000;246.4500000;248.0000000;246.0500000;246.4000000;3943920
280723;000000;246.9100000;248.4800000;245.2500000;247.9300000;3212940
310723;000000;250.0100000;265.6100000;249.0100000;265.2900000;12381910
010823;000000;266.1800000;272.0000000;262.7000000;266.6700000;13871200
020823;000000;267.0000000;268.1300000;264.7000000;267.1500000;4214020
030823;000000;267.4000000;269.9600000;265.1200000;268.2000000;5653870
040823;000000;268.4400000;271.5000000;260.1000000;264.0400000;10768220
070823;000000;265.1900000;267.4500000;260.3000000;261.2300000;6166230
080823;000000;261.3000000;264.4700000;258.0000000;264.1200000;6000490
090823;000000;264.5700000;266.0000000;262.7000000;263.2000000;3991150
100823;000000;264.0100000;266.7500000;263.3100000;266.5000000;4013070
110823;000000;266.5000000;266.5400000;264.5500000;265.8600000;3145160
140823;000000;267.1200000;268.8700000;259.2500000;260.1100000;8752550
150823;000000;259.0500000;263.9900000;256.6800000;260.8900000;5880690
160823;000000;260.9900000;261.7600000;254.0000000;255.7200000;6650530
170823;000000;256.2900000;258.4500000;255.3200000;258.0900000;3306270
180823;000000;258.0000000;260.8700000;256.7600000;260.5100000;2528200
210823;000000;261.5100000;262.4600000;259.4500000;260.9400000;3508080
220823;000000;261.1200000;261.8700000;259.5200000;261.1900000;2515130
230823;000000;261.5000000;261.8300000;255.9200000;256.4700000;4293370
240823;000000;257.3500000;259.3400000;256.3000000;258.9200000;2582380
250823;000000;258.5700000;261.2400000;257.3000000;259.8800000;2524470
280823;000000;259.8700000;266.6000000;259.8600000;265.2000000;5486840
290823;000000;265.2900000;266.9000000;264.3000000;265.1700000;3779710
300823;000000;265.1600000;266.9200000;262.8300000;264.2500000;3547470
310823;000000;264.8400000;265.9800000;264.3200000;264.7500000;1830960
010923;000000;264.9800000;265.5100000;264.0400000;264.6100000;1689480
040923;000000;265.8100000;268.4000000;265.3000000;266.8200000;4330480
050923;000000;267.1000000;267.4000000;261.0400000;264.6300000;4794150
060923;000000;264.5100000;264.5300000;262.1700000;262.9400000;2399660
070923;000000;262.8700000;264.4900000;255.8400000;258.2600000;5928380
080923;000000;257.8800000;259.0700000;252.9000000;255.5500000;5337880
110923;000000;256.4400000;257.9900000;255.0100000;256.0300000;5729070
120923;000000;256.9800000;261.9800000;256.5000000;261.7800000;4038680
130923;000000;262.0000000;262.2900000;257.4900000;257.9500000;2498990
140923;000000;258.3000000;261.2000000;254.6100000;259.4300000;4562110
150923;000000;259.4300000;261.9800000;258.1300000;260.3900000;3223450
180923;000000;261.3700000;262.7500000;258.3000000;258.7300000;2995360
190923;000000;258.4500000;259.2600000;251.2200000;252.5900000;6433510
200923;000000;252.9700000;255.4900000;249.5900000;253.5900000;5724690
210923;000000;253.3100000;254.1900000;249.7000000;249.8600000;4193700
220923;000000;250.4300000;252.8900000;248.8400000;251.8200000;2741810
250923;000000;252.0300000;253.2500000;249.7300000;252.4000000;2504690
260923;000000;252.3500000;256.8300000;250.7100000;255.4500000;2607360
270923;000000;256.0000000;257.5000000;254.3900000;255.6000000;2405200
280923;000000;255.6500000;258.0000000;255.1200000;257.2800000;1692030
290923;000000;257.5200000;262.3000000;256.3600000;260.4100000;4372640
021023;000000;261.1200000;261.5000000;256.3600000;258.6800000;4261410
031023;000000;258.9000000;260.4400000;257.1000000;259.3700000;2446340
041023;000000;258.9000000;260.1700000;258.2500000;258.9300000;2026740
051023;000000;260.0000000;260.9800000;258.1200000;259.2400000;2034820
061023;000000;259.2400000;262.9900000;257.8000000;262.4500000;2351650
091023;000000;262.5300000;265.7600000;262.5300000;264.7600000;3939600
101023;000000;264.9700000;265.1500000;259.8000000;262.8900000;2988300
111023;000000;262.8800000;264.1700000;259.5900000;260.1600000;3131100
121023;000000;260.1600000;264.5000000;259.6000000;264.0100000;2852420
131023;000000;264.2500000;264.5900000;262.3300000;263.2100000;1628830
161023;000000;263.4300000;268.6600000;263.4200000;268.0400000;5088340
171023;000000;268.0500000;271.5100000;266.1500000;269.9500000;4058710
181023;000000;269.6000000;270.3000000;265.6700000;267.5500000;3147930
191023;000000;266.6500000;270.8700000;266.2400000;268.2300000;2423540
201023;000000;268.0100000;272.2500000;266.3000000;269.5700000;2301580
231023;000000;270.3700000;273.6300000;269.1400000;269.7500000;3794360
241023;000000;269.7400000;271.6500000;268.2000000;270.8500000;2425160
251023;000000;270.9800000;274.1900000;270.0100000;272.8700000;2956300
261023;000000;273.2500000;275.0000000;268.9000000;269.6000000;4367880
271023;000000;269.6100000;271.3000000;266.5400000;269.2400000;3787830
301023;000000;269.1100000;271.0000000;268.0300000;269.1100000;1909580
311023;000000;269.0900000;269.8200000;266.1100000;267.9300000;2151960
011123;000000;267.9300000;269.7000000;267.2000000;269.1200000;1019840
021123;000000;269.9100000;270.0000000;267.4000000;268.5000000;1575480
031123;000000;267.9800000;269.4800000;267.0000000;268.3900000;1369820
061123;000000;268.3800000;272.9500000;268.0400000;272.7500000;1781460
071123;000000;272.7500000;273.9400000;271.3900000;272.6100000;3045340
081123;000000;272.7000000;277.0000000;272.5900000;276.8500000;5029540
091123;000000;277.1100000;277.4700000;274.8100000;276.0500000;2706820
101123;000000;276.1900000;279.9000000;275.8500000;279.3000000;4346280
131123;000000;279.6100000;283.9800000;279.5000000;282.7400000;3733460
141123;000000;282.7100000;283.2900000;279.0000000;279.5400000;3607820
151123;000000;279.2900000;282.7800000;277.3300000;281.4900000;3225130
161123;000000;281.0900000;282.4000000;278.5600000;278.9100000;2443680
171123;000000;278.9000000;281.7800000;278.0000000;280.7900000;2877840
201123;000000;280.3500000;282.9900000;280.0700000;282.2700000;2868670
211123;000000;281.8300000;282.7700000;280.0700000;282.4800000;3329140
221123;000000;282.4900000;286.0100000;282.0000000;285.6300000;3982080
231123;000000;285.7000000;287.3800000;284.5000000;285.1200000;2727750
241123;000000;285.2400000;287.1100000;284.7900000;286.3800000;1970060
271123;000000;286.3900000;288.7000000;278.6300000;281.8700000;5748590
281123;000000;281.8000000;281.8000000;277.2300000;279.6000000;3229710
291123;000000;279.1800000;280.4500000;276.1000000;276.7900000;2989940
301123;000000;276.7900000;278.0800000;272.7100000;276.9500000;5413630
011223;000000;276.9500000;277.9400000;273.2000000;273.8500000;2942400
041223;000000;273.6900000;274.4800000;269.5400000;270.3000000;3625250
051223;000000;271.8000000;279.7900000;270.3900000;279.1500000;4889650
061223;000000;279.9900000;280.4700000;265.8100000;267.6200000;8222530
071223;000000;268.0500000;270.3000000;262.7800000;264.9000000;5682000
081223;000000;265.9100000;268.1300000;263.6200000;264.6800000;2975460
111223;000000;265.2300000;266.2900000;254.7500000;256.7500000;8222220
121223;000000;255.9900000;262.6100000;255.1300000;257.8000000;4608420
131223;000000;257.0000000;261.0000000;256.3300000;260.1000000;2336140
141223;000000;260.5700000;262.6200000;255.7200000;256.6000000;2601040
151223;000000;257.6000000;268.4700000;257.1900000;267.7000000;5786620
181223;000000;268.5500000;269.8000000;266.1000000;268.1100000;4234790
191223;000000;268.1500000;269.3800000;264.9000000;267.1800000;2554480
201223;000000;267.5500000;268.6800000;266.0000000;266.6100000;2299980
211223;000000;266.6100000;266.7400000;263.2600000;264.7200000;3391680
221223;000000;265.3000000;271.6300000;265.0200000;271.0500000;4567520
251223;000000;271.4900000;274.2600000;269.8700000;270.8100000;3725830
261223;000000;271.1000000;272.6400000;269.5200000;271.9200000;4343640
271223;000000;272.1800000;272.7000000;271.1100000;271.2300000;2591200
281223;000000;271.2300000;272.8900000;269.0500000;271.8500000;3153750
291223;000000;271.9900000;273.4600000;271.3900000;272.2200000;3311690
