<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;141.6000000;143.2500000;141.5600000;141.7800000;21027110
040123;000000;141.8400000;142.2800000;140.7500000;141.4300000;17094250
050123;000000;141.6000000;141.8400000;140.5400000;141.2700000;17236330
060123;000000;141.3500000;141.6200000;140.9000000;141.4000000;10647380
090123;000000;141.8400000;142.9900000;141.6500000;142.4000000;31314900
100123;000000;142.1100000;142.8500000;141.3100000;142.8100000;23691190
110123;000000;142.9700000;149.9800000;142.8700000;149.9600000;123046960
120123;000000;150.0500000;150.7900000;148.3900000;149.3000000;46557290
130123;000000;149.5700000;153.2800000;147.7100000;151.6900000;88460580
160123;000000;152.8500000;154.0000000;151.8800000;153.7100000;51527810
170123;000000;153.9700000;154.3100000;150.0100000;150.4500000;84226560
180123;000000;150.4000000;153.0000000;149.4100000;151.4700000;67364580
190123;000000;151.2000000;152.8500000;148.5600000;149.3400000;66640910
200123;000000;149.7000000;151.4000000;148.6400000;151.3800000;44165570
230123;000000;151.9000000;154.1000000;151.0100000;153.5000000;55100140
240123;000000;153.9400000;155.5800000;152.2800000;152.6600000;78662030
250123;000000;152.4500000;153.6000000;151.5000000;152.8100000;43317800
260123;000000;153.3200000;154.3000000;151.7300000;152.4000000;45375340
270123;000000;152.4000000;153.4800000;151.6900000;153.2000000;34069080
300123;000000;153.5000000;153.8800000;152.2100000;153.3800000;31014210
310123;000000;153.5100000;158.1800000;153.3000000;158.0700000;77840320
010223;000000;158.2000000;159.6000000;156.5000000;158.2900000;66229060
020223;000000;158.3900000;160.2900000;157.3700000;159.4500000;53822290
030223;000000;159.0900000;162.3200000;157.8800000;161.2600000;63595690
060223;000000;161.7100000;167.1700000;161.0100000;167.0900000;88885050
070223;000000;167.3000000;168.7000000;163.4000000;165.3900000;92561690
080223;000000;165.1000000;166.3500000;162.7000000;164.1500000;58565870
090223;000000;164.3500000;167.4700000;161.2700000;165.3100000;107000260
100223;000000;165.0000000;166.4900000;164.5000000;165.5200000;40772540
130223;000000;165.2100000;166.8800000;164.1700000;164.3200000;36134650
140223;000000;164.3000000;164.3800000;161.6400000;161.8600000;58676770
150223;000000;160.9300000;161.1200000;153.8300000;156.2500000;113600860
160223;000000;157.3400000;159.3000000;156.2500000;158.2200000;68386460
170223;000000;157.9500000;160.3800000;156.9100000;159.7300000;51777410
200223;000000;159.4200000;161.3000000;156.7300000;160.0900000;63810790
210223;000000;160.6400000;165.6500000;159.2600000;164.1500000;127324000
220223;000000;164.1300000;164.4200000;162.5000000;163.3700000;43695690
240223;000000;163.3300000;165.5000000;163.1000000;164.3000000;37700530
270223;000000;163.6400000;170.0000000;162.9600000;169.9500000;100005170
280223;000000;170.4800000;171.9200000;168.3700000;169.8200000;80540860
010323;000000;170.4000000;171.6600000;169.5000000;170.5300000;53655680
020323;000000;170.4000000;170.4000000;166.5500000;168.0500000;86014000
