<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;21.7000000;22.1100000;21.6600000;21.9050000;7488600
040123;000000;21.9500000;21.9700000;21.7050000;21.8000000;5388900
050123;000000;21.8250000;21.8700000;21.6500000;21.7250000;4745200
060123;000000;21.7150000;21.8850000;21.6050000;21.6850000;7240400
090123;000000;21.7600000;21.8500000;21.3500000;21.6200000;14740400
100123;000000;21.6200000;21.6250000;21.1300000;21.4700000;15433600
110123;000000;21.4650000;21.8450000;21.3300000;21.8050000;17875600
120123;000000;21.8200000;21.8700000;21.6000000;21.6750000;8766800
130123;000000;21.6750000;21.7750000;21.6050000;21.7300000;8716800
160123;000000;21.7700000;22.5000000;21.7600000;22.3550000;28732400
170123;000000;22.3250000;22.7450000;21.9300000;22.0400000;32712600
180123;000000;22.0900000;22.3500000;21.9200000;22.0650000;14104800
190123;000000;22.0750000;22.1450000;21.6250000;21.7750000;11483300
200123;000000;21.7900000;21.8900000;21.6450000;21.7300000;5713700
230123;000000;21.7800000;21.9500000;21.7500000;21.9450000;10480900
240123;000000;21.9500000;22.0900000;21.6800000;21.6950000;11232500
250123;000000;21.6950000;21.8250000;21.5900000;21.6850000;7459900
260123;000000;21.7500000;21.8500000;21.6450000;21.7100000;5911700
270123;000000;21.7000000;23.3000000;21.6700000;23.2850000;113113200
300123;000000;23.4950000;23.7250000;22.9000000;23.1600000;52783700
310123;000000;23.1600000;23.4400000;23.0000000;23.1700000;23578500
010223;000000;23.1800000;23.2500000;22.7200000;22.9100000;22699900
020223;000000;22.9600000;23.6800000;22.9000000;23.1800000;39541100
030223;000000;23.2300000;23.3400000;23.0050000;23.1250000;14077300
060223;000000;23.1500000;23.5500000;23.1250000;23.4100000;23524800
070223;000000;23.5200000;23.9850000;23.4050000;23.6150000;28612500
080223;000000;23.6450000;23.8100000;22.9700000;23.1150000;24621700
090223;000000;23.1500000;23.3600000;22.8950000;23.0950000;19219000
100223;000000;23.0550000;23.2950000;22.9050000;23.1050000;13366500
130223;000000;23.1350000;23.2900000;23.0900000;23.1350000;7794400
140223;000000;23.1050000;23.1600000;22.4700000;22.6400000;19252700
150223;000000;22.5550000;22.5700000;21.2000000;21.6650000;28783300
160223;000000;21.8800000;22.0650000;21.2100000;21.5500000;21440600
170223;000000;21.4700000;21.8900000;21.4000000;21.6000000;18622300
200223;000000;21.6400000;22.4500000;21.3800000;22.1900000;24832100
210223;000000;22.1700000;22.5450000;22.1000000;22.3800000;22239400
220223;000000;22.3750000;22.7000000;22.1200000;22.2700000;16713900
240223;000000;22.2650000;22.4250000;22.0800000;22.0950000;8858400
270223;000000;22.0800000;22.5400000;21.9800000;22.4800000;12317000
280223;000000;22.5100000;22.9300000;22.4950000;22.7300000;23675300
010323;000000;22.8150000;22.9650000;22.7700000;22.9000000;12267600
020323;000000;22.8600000;22.9350000;22.2000000;22.3300000;26767500
030323;000000;22.2800000;22.6900000;22.2750000;22.5250000;12594100
060323;000000;22.6350000;22.8150000;22.5300000;22.7300000;17217500
070323;000000;22.8100000;22.8850000;22.5850000;22.6200000;12947700
090323;000000;22.6250000;22.6950000;22.4300000;22.5000000;9062900
100323;000000;22.3450000;22.4000000;22.2200000;22.3000000;11496700
130323;000000;22.3100000;22.4700000;22.0400000;22.2200000;19171400
140323;000000;22.1350000;22.4300000;22.1050000;22.2800000;9845200
150323;000000;22.3650000;22.4250000;21.9100000;22.0750000;16702800
160323;000000;22.1050000;22.4750000;22.0000000;22.2150000;24943400
170323;000000;22.3300000;22.6000000;22.2250000;22.5000000;23076000
200323;000000;22.5800000;23.4250000;22.5000000;23.2750000;52420600
210323;000000;23.3450000;23.7000000;22.7050000;23.0050000;42445500
220323;000000;23.0750000;23.1800000;22.8500000;22.9650000;11698100
230323;000000;23.0000000;23.2350000;22.9000000;23.0800000;16579900
240323;000000;23.1000000;23.1750000;23.0000000;23.0600000;8786400
270323;000000;23.2050000;24.0950000;23.1000000;23.7600000;66722200
280323;000000;23.9050000;23.9600000;23.4000000;23.6450000;21968600
290323;000000;23.7100000;23.8650000;23.4600000;23.7750000;21846100
300323;000000;23.8000000;23.9450000;23.4650000;23.8800000;28468400
310323;000000;23.9150000;23.9700000;23.2600000;23.5200000;24729700
030423;000000;23.8650000;24.2850000;23.6700000;24.0550000;41296600
040423;000000;24.1550000;25.5750000;24.0650000;24.8400000;109459700
050423;000000;24.8950000;25.2750000;24.1150000;25.0550000;50212500
060423;000000;25.1350000;25.5150000;24.6450000;24.9900000;42369900
070423;000000;25.0350000;25.4250000;24.7150000;24.9650000;26798500
100423;000000;25.0650000;25.3600000;24.8700000;25.1850000;22459700
110423;000000;25.3100000;25.7950000;24.6000000;24.6800000;56003700
