<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
030123;000000;0.0163800;0.0165000;0.0163450;0.0164450;21271860000
040123;000000;0.0164400;0.0165250;0.0163800;0.0164300;12758510000
050123;000000;0.0164900;0.0164900;0.0162350;0.0163200;15480360000
060123;000000;0.0163350;0.0163550;0.0161700;0.0162050;16097750000
090123;000000;0.0162750;0.0165350;0.0162300;0.0164600;39479900000
100123;000000;0.0164200;0.0164400;0.0163000;0.0163650;17301730000
110123;000000;0.0163500;0.0167600;0.0163200;0.0166800;52799380000
120123;000000;0.0167600;0.0167800;0.0165200;0.0165850;30803420000
130123;000000;0.0165700;0.0168200;0.0164650;0.0166450;41096090000
160123;000000;0.0167200;0.0171450;0.0167150;0.0171300;59552400000
170123;000000;0.0171400;0.0171700;0.0167000;0.0167100;51315650000
180123;000000;0.0167450;0.0169600;0.0166550;0.0167300;31598950000
190123;000000;0.0167300;0.0168200;0.0165050;0.0166500;40531270000
200123;000000;0.0166800;0.0167350;0.0165250;0.0167150;19873410000
230123;000000;0.0167700;0.0168800;0.0167000;0.0168200;27854880000
240123;000000;0.0168400;0.0169000;0.0165800;0.0165900;27503440000
250123;000000;0.0165900;0.0167500;0.0163300;0.0166300;45047970000
260123;000000;0.0166650;0.0167350;0.0165550;0.0166000;18822490000
270123;000000;0.0165750;0.0166850;0.0165450;0.0165850;21751040000
300123;000000;0.0165450;0.0170250;0.0164700;0.0167950;74325460000
310123;000000;0.0168250;0.0169800;0.0167900;0.0169500;38845870000
010223;000000;0.0169550;0.0173950;0.0169000;0.0171150;89491450000
020223;000000;0.0171500;0.0172500;0.0168050;0.0170250;52951700000
030223;000000;0.0170050;0.0170650;0.0166400;0.0169150;46821830000
060223;000000;0.0169200;0.0171600;0.0168600;0.0171300;49249930000
070223;000000;0.0170250;0.0173500;0.0168800;0.0171000;90711710000
080223;000000;0.0171200;0.0172800;0.0169550;0.0170200;47761950000
090223;000000;0.0170350;0.0170800;0.0169000;0.0169950;29827100000
100223;000000;0.0170100;0.0170150;0.0169050;0.0169450;17534800000
130223;000000;0.0169550;0.0170250;0.0167750;0.0168300;23028590000
140223;000000;0.0168300;0.0168500;0.0164000;0.0168400;41019710000
150223;000000;0.0166500;0.0166850;0.0159300;0.0160400;66786080000
160223;000000;0.0161950;0.0163550;0.0158100;0.0160000;56961230000
170223;000000;0.0159950;0.0161250;0.0158550;0.0159850;31679480000
200223;000000;0.0160350;0.0163350;0.0159050;0.0162150;38431480000
210223;000000;0.0162200;0.0166650;0.0162200;0.0164000;52675550000
220223;000000;0.0163850;0.0164450;0.0162950;0.0163400;13081400000
240223;000000;0.0163500;0.0164400;0.0160950;0.0162050;23759300000
270223;000000;0.0161550;0.0165850;0.0161250;0.0164150;33991930000
280223;000000;0.0164150;0.0166150;0.0163400;0.0164600;30745220000
010323;000000;0.0165100;0.0166900;0.0164600;0.0166500;39723060000
020323;000000;0.0166450;0.0167250;0.0162350;0.0164050;40073750000
030323;000000;0.0164300;0.0166000;0.0163850;0.0165850;22263850000
060323;000000;0.0166450;0.0168100;0.0166300;0.0167700;30677970000
070323;000000;0.0168000;0.0168650;0.0166750;0.0167650;24468150000
090323;000000;0.0167900;0.0168350;0.0166550;0.0166800;21167180000
100323;000000;0.0166250;0.0166300;0.0164050;0.0164900;33073230000
130323;000000;0.0165550;0.0166750;0.0163400;0.0164550;32527020000
140323;000000;0.0164650;0.0166450;0.0163950;0.0165500;24974170000
150323;000000;0.0165550;0.0166750;0.0163550;0.0164600;36079110000
160323;000000;0.0164500;0.0165050;0.0162900;0.0164250;22686130000
170323;000000;0.0164900;0.0168000;0.0164500;0.0166900;71790990000
200323;000000;0.0173100;0.0191900;0.0171800;0.0189950;672112190000
210323;000000;0.0189900;0.0193450;0.0180350;0.0182750;401412100000
220323;000000;0.0182550;0.0186000;0.0181350;0.0184050;100705930000
230323;000000;0.0184050;0.0185550;0.0180500;0.0181550;64334630000
240323;000000;0.0182000;0.0182400;0.0177250;0.0179000;126429630000
270323;000000;0.0179800;0.0184750;0.0179150;0.0183400;90308310000
280323;000000;0.0183800;0.0185200;0.0180850;0.0183000;50902130000
290323;000000;0.0183600;0.0184650;0.0181750;0.0183400;54037770000
300323;000000;0.0183400;0.0184450;0.0182500;0.0183600;33758680000
310323;000000;0.0183950;0.0184200;0.0178650;0.0181400;68290810000
030423;000000;0.0181900;0.0200300;0.0180300;0.0199100;401631560000
040423;000000;0.0199950;0.0209200;0.0197950;0.0203700;483741540000
050423;000000;0.0204050;0.0204250;0.0187100;0.0188950;545335170000
060423;000000;0.0188500;0.0191750;0.0186100;0.0187700;145526290000
070423;000000;0.0187850;0.0188900;0.0186800;0.0188300;58893220000
100423;000000;0.0189650;0.0190750;0.0188500;0.0190400;88028570000
110423;000000;0.0190850;0.0191400;0.0183450;0.0185800;139371620000
120423;000000;0.0186150;0.0188000;0.0184700;0.0186550;59918540000
130423;000000;0.0187000;0.0188250;0.0184850;0.0186400;53271580000
140423;000000;0.0186300;0.0187400;0.0184050;0.0186950;42787110000
170423;000000;0.0188150;0.0194500;0.0187400;0.0193100;192718800000
180423;000000;0.0193200;0.0194550;0.0190800;0.0194100;97317340000
190423;000000;0.0195100;0.0198750;0.0188500;0.0193150;217803010000
200423;000000;0.0194200;0.0203650;0.0193050;0.0200300;250328190000
210423;000000;0.0200450;0.0203100;0.0198600;0.0201950;103508740000
240423;000000;0.0201200;0.0206400;0.0199100;0.0200100;167303860000
250423;000000;0.0200500;0.0201800;0.0196050;0.0197650;137479660000
260423;000000;0.0198250;0.0208850;0.0197800;0.0207400;323518140000
270423;000000;0.0208500;0.0227900;0.0208150;0.0224650;702910810000
280423;000000;0.0225000;0.0229500;0.0217500;0.0222200;468352280000
020523;000000;0.0222750;0.0228750;0.0210950;0.0218800;370025960000
030523;000000;0.0218600;0.0218600;0.0208000;0.0209550;294674910000
040523;000000;0.0210700;0.0213500;0.0206050;0.0210950;197133090000
050523;000000;0.0211350;0.0217950;0.0209000;0.0210600;237731810000
080523;000000;0.0211700;0.0213150;0.0206750;0.0206900;99230760000
100523;000000;0.0207650;0.0221800;0.0207500;0.0221000;286343900000
110523;000000;0.0220900;0.0224550;0.0212200;0.0216650;313515060000
120523;000000;0.0216150;0.0219200;0.0214100;0.0217100;135267770000
150523;000000;0.0219600;0.0224900;0.0218100;0.0224800;137057380000
160523;000000;0.0225450;0.0226900;0.0220100;0.0223300;137672050000
170523;000000;0.0223650;0.0234850;0.0221150;0.0233450;435873930000
180523;000000;0.0234550;0.0241450;0.0228100;0.0232100;499991520000
190523;000000;0.0230900;0.0236400;0.0228100;0.0231300;220924010000
220523;000000;0.0233950;0.0234800;0.0226100;0.0228850;170964670000
230523;000000;0.0231250;0.0238000;0.0228000;0.0236600;302238790000
240523;000000;0.0237750;0.0240700;0.0232900;0.0236250;291400320000
250523;000000;0.0236000;0.0237500;0.0228800;0.0232200;254696600000
260523;000000;0.0231400;0.0236400;0.0228800;0.0232500;221684160000
290523;000000;0.0234550;0.0235900;0.0229250;0.0232050;219119720000
300523;000000;0.0228550;0.0231950;0.0222800;0.0224850;231407610000
310523;000000;0.0223600;0.0224750;0.0219550;0.0222000;176104280000
010623;000000;0.0222550;0.0223600;0.0212650;0.0214250;194380620000
020623;000000;0.0205100;0.0227500;0.0202300;0.0226300;618562840000
050623;000000;0.0226600;0.0230300;0.0217000;0.0219050;298874300000
060623;000000;0.0218450;0.0226250;0.0214600;0.0223350;214094990000
070623;000000;0.0223450;0.0232450;0.0223200;0.0229600;360586200000
080623;000000;0.0229150;0.0231700;0.0226750;0.0227500;169475440000
090623;000000;0.0228200;0.0230750;0.0226500;0.0227850;118589880000
130623;000000;0.0230100;0.0233300;0.0228150;0.0230200;183620640000
140623;000000;0.0231200;0.0232300;0.0229200;0.0230500;104683950000
150623;000000;0.0230400;0.0231000;0.0227600;0.0230500;108581180000
160623;000000;0.0230600;0.0231650;0.0226850;0.0229750;110697820000
190623;000000;0.0229400;0.0230600;0.0227800;0.0228850;87274530000
200623;000000;0.0228200;0.0229000;0.0223650;0.0226950;114741440000
210623;000000;0.0226950;0.0230000;0.0225250;0.0227750;90504800000
220623;000000;0.0227200;0.0228150;0.0209000;0.0223300;122769880000
